tourney_name,surface,tourney_date,round,winner_name,loser_name,score
Roland Garros,Clay,20080608,F,Rafael Nadal,Roger Federer,6-1 6-3 6-0
Roland Garros,Clay,20110605,F,Rafael Nadal,Roger Federer,7-5 7-6 5-7 6-1
Monte Carlo Masters,Clay,20080427,F,Rafael Nadal,Roger Federer,7-5 7-5
Wimbledon,Grass,20070708,F,Roger Federer,Rafael Nadal,7-6 4-6 7-6 2-6 6-2
Tour Finals,Hard,20101128,F,Roger Federer,Rafael Nadal,6-3 3-6 6-1
Australian Open,Hard,20120129,F,Novak Djokovic,Rafael Nadal,5-7 6-4 6-2 6-7 7-5
US Open,Hard,20110912,F,Novak Djokovic,Rafael Nadal,6-2 6-4 6-7 6-1
Roland Garros,Clay,20120611,F,Rafael Nadal,Novak Djokovic,6-4 6-3 2-6 7-5
Roland Garros,Clay,20140608,F,Rafael Nadal,Novak Djokovic,3-6 7-5 6-2 6-4
Roland Garros,Clay,20110603,SF,Rafael Nadal,Andy Murray,6-4 7-5 6-4
Australian Open,Hard,20160128,SF,Novak Djokovic,Roger Federer,6-1 6-2 3-6 6-3
Wimbledon,Grass,20140706,F,Novak Djokovic,Roger Federer,6-7 6-4 7-6 5-7 6-4
Cincinnati Masters,Hard,20150823,F,Roger Federer,Novak Djokovic,7-6 6-3
US Open,Hard,20120910,F,Andy Murray,Novak Djokovic,7-6 7-5 2-6 3-6 6-2
Australian Open,Hard,20130127,F,Novak Djokovic,Andy Murray,6-7 7-6 6-3 6-2
Olympics,Grass,20120805,F,Andy Murray,Roger Federer,6-2 6-1 6-4
Australian Open,Hard,20100131,F,Roger Federer,Andy Murray,6-3 6-4 7-6
Roland Garros,Clay,20150607,F,Stan Wawrinka,Novak Djokovic,4-6 6-4 6-3 6-4
Australian Open,Hard,20140126,F,Stan Wawrinka,Rafael Nadal,6-3 6-2 3-6 6-3
US Open,Hard,20090914,F,Juan Martin del Potro,Roger Federer,3-6 7-6 4-6 7-6 6-2
US Open,Hard,20200913,F,Dominic Thiem,Alexander Zverev,2-6 4-6 6-4 6-3 7-6
Roland Garros,Clay,20190609,F,Rafael Nadal,Dominic Thiem,6-3 5-7 6-1 6-1
Roland Garros,Clay,20180610,F,Rafael Nadal,Dominic Thiem,6-4 6-3 6-2
Indian Wells Masters,Hard,20170319,F,Roger Federer,Stan Wawrinka,6-4 7-5
Australian Open,Hard,20170129,F,Roger Federer,Rafael Nadal,6-4 3-6 6-1 3-6 6-3
Wimbledon,Grass,20190714,F,Novak Djokovic,Roger Federer,7-6 1-6 7-6 4-6 13-12
Roland Garros,Clay,20200611,SF,Rafael Nadal,Novak Djokovic,6-0 6-2 7-5
ATP Finals,Hard,20221120,F,Novak Djokovic,Casper Ruud,7-5 6-3
Wimbledon,Grass,20230716,F,Carlos Alcaraz,Novak Djokovic,1-6 7-6 6-1 3-6 6-4
Roland Garros,Clay,20240609,SF,Carlos Alcaraz,Jannik Sinner,2-6 6-3 3-6 6-4 6-3
Australian Open,Hard,20240128,F,Jannik Sinner,Daniil Medvedev,3-6 3-6 6-4 6-4 6-3
US Open,Hard,20230910,F,Novak Djokovic,Daniil Medvedev,6-3 7-6 6-3
Miami Masters,Hard,20240331,F,Jannik Sinner,Grigor Dimitrov,6-3 6-1
Wimbledon,Grass,20240714,F,Carlos Alcaraz,Novak Djokovic,6-2 6-2 7-6
Roland Garros,Clay,20220605,F,Rafael Nadal,Casper Ruud,6-3 6-3 6-0
Cincinnati Masters,Hard,20210817,R16,Andrey Rublev,Alexander Bublik,6-4 6-4
Rotterdam,Hard,20230218,QF,Andrey Rublev,Alexander Bublik,7-5 6-4
Dubai,Hard,20240301,SF,Alexander Bublik,Andrey Rublev,7-6 6-3
Vienna,Hard,20211031,F,Daniil Medvedev,Andrey Rublev,6-4 6-4
ATP Finals,Hard,20211121,F,Alexander Zverev,Daniil Medvedev,6-4 6-4
Monte Carlo Masters,Clay,20230416,F,Andrey Rublev,Holger Rune,5-7 6-2 7-5
Australian Open,Hard,20250126,F,Jannik Sinner,Alexander Zverev,6-3 7-6 6-3
Indian Wells Masters,Hard,20230319,F,Daniil Medvedev,Carlos Alcaraz,7-6 6-1
Miami Masters,Hard,20230402,F,Daniil Medvedev,Jannik Sinner,7-5 6-3
Rotterdam,Hard,20240218,F,Jannik Sinner,Alexander Zverev,7-5 6-4
Madrid Masters,Clay,20240505,F,Andrey Rublev,Felix Auger-Aliassime,4-6 7-5 7-5
Montpellier,Hard,20250209,F,Alexander Bublik,Quentin Halys,6-4 6-3
